"mode","age","gender","income","hh_size","auto_avail","bike_avail","ttime.walk","ttime.bike","ttime.auto","ttime.transit","weight"
"transit",37,1,5201,4,0.5,1,280.25,99.09,35.11,50,1.42496194
"bike",55,1,4262,4,0.33,1,109.57,30,13.73,25.33,0.341182625
"auto",39,1,2587,4,1,1,53.17,18.8,10,12.29,2.930414153
"auto",46,1,1178,5,0.25,0,129.81,45.9,20,30.01,0.600999383
"auto",23,0,1005,5,0.25,0,118.01,41.73,15,27.29,0.930047644
"auto",49,1,2869,2,1,0,849.69,300.44,51,196.46,0.838469415
"auto",55,0,2738,2,1,0,82.61,29.21,15,19.1,0.483113324
"auto",56,1,2936,2,1,1,141.61,50.07,15,32.74,0.97844003
"auto",63,1,3262,2,1,1,424.84,150.22,30,98.23,0.267271209
"auto",60,0,1823,2,0.5,0,35.4,12.52,10,8.19,1.393524447
"auto",64,1,1728,2,0.5,0,35.4,12.52,10,8.19,1.337965722
"auto",49,1,4148,5,1,1,82.61,29.21,10,19.1,0.411790808
"auto",22,1,4262,5,1,1,295.03,104.32,20,68.21,0.600116768
"auto",27,1,1820,2,1,0,70.81,25.04,15,16.37,1.845475974
"auto",42,0,2926,4,1,1,94.41,33.38,10,21.83,0.940531855
"auto",49,1,2725,4,1,0,131.06,46.34,15,30.3,0.651850793
"auto",46,0,4250,4,1,1,177.02,62.59,20,40.93,0.471303109
"auto",25,1,4192,4,1,1,236.02,83.46,30,54.57,0.88067612
"auto",22,1,4084,4,1,1,59.01,20.86,10,13.64,0.672345133
"transit",31,0,1795,2,1,1,201.86,71.38,25.29,35,2.656939987
"auto",56,0,3955,4,1,1,47.2,16.69,15,10.91,0.747338275
"bike",17,0,1989,5,0.67,1,36.52,10,4.58,8.44,1.209529464
"auto",38,1,2404,5,0.5,1,35.4,12.52,5,8.19,1.340467637
"auto",42,1,2327,2,0.5,1,82.61,29.21,15,19.1,0.97608469
"auto",44,1,4298,2,1,0,35.4,12.52,15,8.19,1.080921184
"transit",61,0,1482,1,1,1,190.56,67.38,23.88,60,2.164378763
"auto",51,1,3665,3,1,1,247.83,87.63,37,57.3,0.676451868
"auto",52,1,1774,2,0.5,1,566.46,200.29,50,130.97,0.630192576
"bike",38,1,2201,2,0.5,1,60.87,20,7.63,14.07,1.181716108
"auto",37,0,2599,2,0.5,1,177.02,62.59,30,40.93,1.117738804
"auto",53,0,4835,4,0.5,1,29.57,10.45,5,6.84,0.739518818
"transit",42,1,2733,5,0.5,0,78.51,27.76,9.84,30,0.663056388
"auto",39,0,2611,5,0.5,0,59.01,20.86,15,13.64,0.917124986
"auto",51,0,3020,1,2,1,271.43,95.97,25,62.76,1.113965748
"bike",28,0,7076,4,1.33,1,121.74,30,15.25,28.15,1.151027728
"transit",30,1,7076,4,1.33,1,448.45,158.57,56.19,90,1.508557336
"auto",49,1,4912,4,0.75,0,35.4,12.52,10,8.19,0.494888138
"auto",20,1,4646,4,0.75,0,590.06,208.64,60,136.43,0.834627545
"auto",51,1,2846,4,0.75,1,59.01,20.86,10,13.64,0.408762723
"auto",49,0,2855,4,0.75,1,236.02,83.46,29,54.57,0.524833545
"auto",20,1,2669,4,0.75,1,354.04,125.18,35,81.86,0.748709849
"auto",55,1,2970,3,0.5,1,94.41,33.38,30,21.83,0.763387832
"auto",52,1,2204,2,1,1,112.17,39.66,15,25.94,0.947523325
"auto",52,0,2054,2,1,1,151.06,53.41,25,34.93,0.912503934
"auto",43,1,3067,4,1,1,354.04,125.18,30,81.86,0.878811652
"auto",38,0,3334,4,1,1,47.2,16.69,5,10.91,1.215552912
"auto",54,0,3268,3,0.33,1,29.57,10.45,30,6.84,0.522959825
"transit",24,0,3518,3,0.33,1,168.2,59.47,21.07,40,0.867485527
"auto",49,0,2975,6,1,1,1180.12,417.28,75,272.86,0.500035975
"auto",52,1,2678,6,1,1,354.04,125.18,40,81.86,0.468090177
"auto",23,1,2716,6,1,1,413.04,146.05,60,95.5,0.829467563
"auto",17,1,2841,6,1,1,129.81,45.9,35,30.01,0.5547517
"auto",59,1,2823,8,0.5,0,295.03,104.32,30,68.21,0.290466507
"auto",28,0,3575,2,1,1,62.61,22.14,18,14.48,2.253503103
"auto",28,1,3268,2,1,1,69.69,24.64,15,16.11,2.163657704
"auto",20,0,3769,5,1,0,354.04,125.18,25,81.86,0.605340554
"auto",45,0,2499,4,1,1,271.43,95.97,25,62.76,0.509641266
"auto",47,1,2558,4,1,0,94.41,33.38,15,21.83,0.528531012
"auto",51,1,4695,2,0.5,1,448.45,158.57,45,103.69,0.747172203
"auto",49,0,4835,2,0.5,1,448.45,158.57,50,103.69,0.794783394
"auto",40,1,2143,5,0.5,1,11.8,4.17,5,2.73,0.906250789
"auto",45,1,1530,2,0.5,1,59.01,20.86,15,13.64,1.889436823
"auto",53,0,3803,3,0.67,1,118.01,41.73,25,27.29,1.43561473
"walk",40,1,1811,4,0.5,1,1,0.44,0.16,0.29,0.742903375
"auto",51,0,2147,4,1,0,94.41,33.38,15,21.83,0.730742711
"auto",54,1,5692,2,0.5,1,212.42,75.11,30,49.11,2.598769293
"transit",55,0,5731,2,0.5,1,168.2,59.47,21.07,40,2.886679015
"auto",35,0,4074,2,1,0,29.57,10.45,5,6.84,3.934235904
"auto",46,1,8092,4,1,1,295.03,104.32,70,68.21,0.629403858
"walk",47,0,6409,2,1,1,10,4.3,1.53,2.81,3.288009406
"bike",29,1,2427,3,0.5,0,24.35,20,3.05,5.63,1.739248432
"bike",43,0,3404,3,0.5,1,48.7,25,6.1,11.26,1.922675312
"walk",28,0,2611,2,0,0,20,8.61,3.05,5.63,1.782760358
"auto",37,1,2346,5,0,1,118.01,41.73,10,27.29,0.913360336
"auto",41,0,3268,4,1.33,1,3.6,1.27,5,0.83,0.871430736
"auto",34,0,2208,4,1,1,47.2,16.69,10,10.91,1.718702165
"auto",55,0,5516,4,0.75,1,295.03,104.32,25,68.21,0.40909749
"auto",28,0,5253,4,0.75,0,295.03,104.32,40,68.21,0.987321653
"auto",27,1,5176,4,0.75,0,118.01,41.73,15,27.29,0.947957914
"auto",62,0,3575,3,0.67,0,247.83,87.63,40,57.3,0.209063438
"transit",53,1,4023,2,0.5,1,392.42,138.76,49.17,70,0.663139998
"transit",47,0,4348,2,0.5,1,11.18,3.95,1.4,55,0.889766153
"auto",46,1,2574,1,1,1,23.6,8.35,10,5.46,2.751562799
"auto",49,1,2640,4,1.33,1,200.62,70.94,25,46.39,0.434772312
"auto",48,0,2712,4,1.33,1,236.02,83.46,30,54.57,0.452826134
"auto",33,1,3164,2,0.5,1,100.37,35.49,15,23.21,1.435808359
"auto",31,1,1563,4,0.5,1,236.02,83.46,35,54.57,1.068695639
"transit",33,0,1680,4,0.5,0,33.66,11.9,4.22,30,1.02765259
"auto",50,1,2034,2,1,1,94.41,33.38,10,21.83,0.354584615
"auto",43,1,6274,2,0.5,1,141.61,50.07,15,32.74,2.332452624
"transit",45,0,4148,4,0.33,1,695.16,245.8,87.1,40,0.456018506
"bike",50,1,3404,1,0,1,73.04,30,9.15,16.89,2.764431919
"auto",47,0,2107,2,1,1,59.01,20.86,25,13.64,0.644844395
"auto",38,1,5176,5,1,1,177.02,62.59,30,40.93,1.319888098
"transit",43,0,3010,4,0.33,1,78.51,27.76,9.84,33,0.409613494
"auto",20,0,2397,3,1,1,200.62,70.94,15,46.39,0.784908898
"auto",44,1,2057,2,1,0,236.02,83.46,30,54.57,1.127890749
"auto",38,0,2070,2,1,0,188.82,66.76,60,43.66,1.523949602
"auto",55,1,3540,4,1,1,401.24,141.87,25,92.77,0.531503832
"auto",27,1,3126,4,1,1,259.63,91.8,45,60.03,1.282738847
"auto",24,0,3031,4,1,1,200.62,70.94,30,46.39,1.019961779
"auto",30,1,2492,3,0.5,0,118.01,41.73,24,27.29,1.226884113
"transit",49,1,4053,5,0.25,1,112.17,39.66,14.05,45,0.876934449
"auto",48,1,3036,2,1,1,82.61,29.21,20,19.1,1.369722705
"transit",45,0,1817,1,1,1,224.22,79.28,28.09,85,2.140141672
"walk",49,0,4873,2,0.5,1,10,4.3,1.53,2.81,1.513424155
"auto",39,1,3137,4,1,1,590.06,208.64,45,136.43,1.173598003
"bike",59,1,2472,2,1,1,30.43,20,3.81,7.04,0.483728517
"transit",18,1,2484,4,0.5,0,392.42,138.76,49.17,60,0.502834432
"transit",40,1,5995,3,1,1,829.69,293.37,103.95,75,2.568608754
"auto",38,0,5692,3,1,1,47.2,16.69,10,10.91,4.476710081
"auto",38,1,1710,2,1,1,295.03,104.32,45,68.21,1.444437043
"auto",30,0,2846,2,0.5,1,295.03,104.32,20,68.21,1.762260879
"bike",35,1,2888,2,0.5,1,60.87,15,7.63,14.07,1.500338573
"bike",59,0,3597,2,1,1,57.27,20,7.18,13.24,1.259290881
"auto",49,1,3051,4,1,1,129.81,45.9,20,30.01,0.336826144
"auto",37,0,3274,4,1,1,271.43,95.97,25,62.76,0.643009568
"transit",43,0,2126,4,0.5,1,224.22,79.28,28.09,70,0.370782575
"auto",35,1,3899,4,1,1,236.02,83.46,15,54.57,0.875158888
"auto",56,1,2682,2,1,1,295.03,104.32,20,68.21,1.012878911
"auto",55,1,5692,5,0.5,1,64.97,22.97,10,15.02,0.464746411
"auto",48,0,5946,5,0.5,1,35.4,12.52,10,8.19,0.600249735
"auto",46,1,1919,2,0.5,0,590.06,208.64,60,136.43,1.066349347
"walk",44,0,1841,2,0.5,0,15,6.46,2.29,4.22,1.538596776
"auto",61,0,4711,3,0.67,1,200.62,70.94,25,46.39,0.926607584
"auto",61,0,4084,2,1,0,70.81,25.04,15,16.37,1.245078112
"auto",61,1,2912,4,0.25,1,271.43,95.97,25,62.76,0.531960765
"transit",62,0,2644,2,1,0,168.2,59.47,21.07,40,0.801410761
"walk",21,1,1240,1,1,1,1,0.44,0.16,0.29,2.748032062
"auto",62,1,1838,4,0.67,0,283.23,100.15,35,65.49,0.438123247
"auto",21,0,1817,4,0.67,0,177.02,62.59,20,40.93,0.905247923
"auto",41,1,4298,3,1.5,1,200.62,70.94,15,46.39,2.285831573
"transit",39,1,3310,4,0.5,1,190.56,67.38,23.88,40,0.91061183
"auto",59,0,3341,2,1,1,212.42,75.11,40,49.11,0.937757388
"auto",60,1,3605,3,1.33,1,106.21,37.55,20,24.56,1.063608754
"auto",30,1,3984,3,1.33,1,35.4,12.52,4,8.19,2.063402363
"auto",61,0,1798,2,0.5,0,177.02,62.59,15,40.93,0.526862782
"auto",20,1,2738,3,0.67,1,59.01,20.86,30,13.64,0.714293837
"auto",44,1,2249,5,1,1,413.04,146.05,35,95.5,0.46427479
"bike",16,1,2566,5,1,1,36.52,20,4.58,8.44,0.404039042
"auto",48,1,3411,3,0.5,1,177.02,62.59,25,40.93,0.514856739
"auto",25,1,4013,5,0.6,0,129.81,45.9,25,30.01,1.114084487
"auto",28,0,5176,3,0.67,0,94.41,33.38,15,21.83,2.666417078
"transit",53,0,2073,2,1,1,168.2,59.47,21.07,60,0.46319436
"auto",56,1,2191,2,1,1,94.41,33.38,15,21.83,0.330932403
"auto",52,0,943,2,0.5,0,177.02,62.59,15,40.93,0.837833874
"auto",42,0,1954,3,0.5,0,542.86,191.95,50,125.51,1.258195161
"auto",60,0,978,2,1,1,23.6,8.35,15,5.46,0.422330138
"auto",62,1,1253,2,1,1,23.6,8.35,10,5.46,0.438538007
"bike",37,0,1777,1,1,1,20.75,10,2.6,4.8,4.256790153
"bike",20,0,6154,4,0.67,1,24.35,10,3.05,5.63,0.690967283
"auto",36,1,3828,3,0.67,1,177.02,62.59,30,40.93,2.127281471
"auto",52,1,3176,4,1,0,41.37,14.63,10,9.56,0.78854208
"transit",31,1,2795,2,0.5,1,134.53,47.57,16.86,45,6.243160646
"auto",52,1,3899,3,0.5,1,188.82,66.76,15,43.66,0.923954567
"auto",34,1,2926,3,0.67,0,247.83,87.63,30,57.3,1.553120416
"auto",42,1,6154,2,1,1,70.81,25.04,10,16.37,5.007964627
"auto",51,1,3803,4,1,1,188.82,66.76,25,43.66,0.38768194
"auto",49,0,3657,4,1,1,70.81,25.04,10,16.37,0.41414011
"auto",42,1,3187,4,1,1,129.81,45.9,15,30.01,1.205559051
"auto",42,0,3491,4,1,1,177.02,62.59,15,40.93,1.225676901
"auto",59,1,2531,2,0.5,1,118.01,41.73,15,27.29,0.66288055
"bike",23,0,3744,5,0.5,1,12.17,5,1.53,2.81,0.668294283
"transit",48,1,2324,4,0.33,1,392.42,138.76,49.17,36,0.658020385
"auto",45,0,2587,4,0.33,1,70.81,25.04,15,16.37,0.62239561
"auto",22,1,3051,4,0.5,1,259.63,91.8,25,60.03,1.114794923
"auto",18,1,3137,3,0.67,1,70.81,25.04,15,16.37,1.00990411
"auto",45,0,3590,3,0.67,1,70.81,25.04,15,16.37,0.91029624
"auto",27,0,3159,3,0.67,1,318.63,112.66,50,73.67,0.411102012
"walk",50,0,3000,3,0.67,1,5,2.59,0.92,1.69,0.19882344
"auto",42,1,1680,5,0.5,1,236.02,83.46,20,54.57,0.740104581
"auto",43,0,5362,4,1,1,82.61,29.21,20,19.1,1.03043449
"auto",56,1,5082,4,1,1,82.61,29.21,20,19.1,0.684798023
"auto",55,0,2408,2,1,1,82.61,29.21,10,19.1,0.293244631
"auto",46,1,7797,4,1,1,259.63,91.8,25,60.03,0.518803404
"auto",47,0,7797,4,1,1,472.05,166.91,40,109.14,0.490715742
"auto",48,1,3794,4,0.33,0,259.63,91.8,42,60.03,0.796856244
"walk",48,0,4170,4,1,0,20,4.3,1.53,2.81,0.609881399
"auto",57,1,4335,4,1,0,35.4,12.52,10,8.19,0.458800287
