"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"5200",3,0,"metropolitan",2,2,0.3,4799,11.88,0.925329157
"5201",3,1,"urban",2,2,0.15,4453,2.94,0.893895329
"5202",2,0,"metropolitan",2,2,0.7,2640,13.3,2.836368715
"5203",2,0,"metropolitan",2,2,0.7,2640,16.15,3.197681563
"5204",2,0,"urban",2,1,0.3,4286,28.5,0.898392271
"5205",2,0,"urban",1,2,0.15,2180,7.6,1.160963016
"5206",2,0,"urban",1,2,0.15,2180,7.6,1.266744085
"5207",4,2,"urban",2,1,0.15,917,28.5,0.575695172
"5208",4,2,"rural",1,2,1.5,2965,33.25,0.558195344
"5209",2,0,"urban",1,1,0.3,3046,3.33,0.761780267
"5210",2,0,"urban",2,1,0.7,2242,0.95,0.914081415
"5211",3,0,"metropolitan",2,2,0.3,2488,45.13,0.714555306
"5212",2,0,"metropolitan",1,1,0.7,1674,31.35,0.617887942
"5213",3,0,"urban",2,1,0.3,2310,15.2,0.349510668
"5214",2,0,"urban",1,2,0.05,3424,7.76,1.01889997
"5215",2,0,"urban",1,2,0.05,3424,13.3,0.809485358
"5216",2,0,"urban",1,2,0.7,2130,0.59,0.549964669
"5217",5,0,"metropolitan",1,2,0.15,4063,14.25,0.810510141
"5218",4,1,"metropolitan",1,2,0.7,3417,0.1,0.758687283
"5219",1,0,"metropolitan",1,1,0.05,1713,7.84,4.054915943
"5220",1,0,"urban",1,1,0.7,2453,9.5,3.860192489
"5221",1,0,"urban",1,1,0.7,2453,11.4,3.860192489
"5222",2,0,"urban",1,1,0.3,4413,23.75,0.472562194
"5223",2,0,"urban",1,1,0.7,2356,10.83,0.6439338
"5224",2,0,"rural",1,2,0.05,2673,0.49,1.601000881
"5225",4,2,"metropolitan",1,2,0.3,9204,9.03,0.913430622
"5226",3,1,"urban",2,2,0.3,1755,3.8,0.50842115
"5227",4,2,"metropolitan",2,2,0.7,3391,68.4,0.427702567
"5228",3,0,"metropolitan",2,0,0.7,2310,9.5,0.604549781
"5229",3,0,"metropolitan",2,1,0.7,8092,19,1.234376938
"5230",4,2,"metropolitan",1,1,0.7,3899,6.86,0.667694237
"5231",2,1,"metropolitan",1,1,0.05,1960,2.85,0.621080478
"5232",4,1,"metropolitan",1,2,1.5,1841,4.75,0.493211907
"5233",4,1,"metropolitan",1,2,1.5,1841,54.15,0.521442446
"5234",2,0,"metropolitan",2,1,0.7,3761,5.7,1.423848749
"5235",2,0,"urban",2,2,0.3,9204,0.78,0.795393207
"5236",2,0,"urban",2,2,0.3,9204,0.78,0.795393207
"5237",3,0,"metropolitan",2,3,0.05,3359,8.55,1.040078266
"5238",3,0,"metropolitan",2,3,0.05,3359,43.32,1.044884256
"5239",3,0,"metropolitan",2,3,0.05,3359,52.34,1.393487909
"5240",4,2,"metropolitan",2,2,0.3,5128,19,0.363142388
"5241",2,0,"metropolitan",1,2,0.3,2067,0.1,0.495347087
"5242",2,0,"metropolitan",1,2,0.3,2067,0.1,0.477039619
"5243",3,0,"urban",1,1,0.3,4105,29.78,0.767964222
"5244",3,1,"rural",2,2,0.3,4553,2.85,1.958467098
"5245",2,0,"metropolitan",3,2,0.7,6740,36.1,1.606381712
"5246",2,0,"metropolitan",3,2,0.7,6740,0.49,1.620732828
"5247",5,2,"urban",3,3,0.7,4003,66.5,0.445110613
"5248",5,2,"urban",3,3,0.7,4003,46.93,0.5020568
"5249",3,0,"metropolitan",2,1,0.05,3250,44.65,0.509368183
"5250",3,1,"urban",2,1,3.5,2031,15.2,1.26865833
"5251",4,2,"urban",2,1,0.3,3268,2.85,0.442434524
"5252",2,0,"urban",2,2,0.7,2382,3.92,0.692904182
"5253",2,0,"urban",2,2,0.7,2382,14.25,0.667295227
"5254",4,2,"metropolitan",2,2,0.7,7216,11.4,0.775455624
"5255",2,0,"metropolitan",1,1,0.15,1755,0.95,1.586922266
"5256",3,0,"metropolitan",1,2,0.15,4599,2.94,0.932708207
"5257",3,0,"metropolitan",1,2,0.15,4599,2.85,0.932708207
"5258",3,0,"metropolitan",1,2,0.15,4599,28.5,0.895521863
"5259",3,0,"urban",2,3,0.3,1948,0.49,0.193838271
"5260",2,0,"metropolitan",2,2,1.5,3704,11.4,1.90438105
"5261",2,0,"metropolitan",2,2,1.5,3704,27.08,1.921394436
"5262",2,0,"urban",1,1,0.7,2067,71.25,1.257502825
"5263",2,0,"rural",1,2,0.05,1476,1.76,1.264377003
"5264",2,0,"rural",1,2,0.05,1476,38,1.188125903
"5265",4,2,"rural",2,1,0.7,2720,30.4,0.292413317
"5266",1,0,"metropolitan",1,1,0.3,1857,0.49,3.512734767
"5267",3,0,"metropolitan",3,1,0.3,4063,36.1,2.380160266
"5268",2,0,"urban",2,1,0.05,4453,28.5,1.815631705
"5269",2,0,"metropolitan",0,1,0.3,3908,22.56,1.48353673
"5270",3,0,"metropolitan",2,2,0.3,4467,30.4,1.205182746
"5271",3,0,"metropolitan",2,2,0.3,4467,2.85,1.109830409
"5272",3,2,"urban",1,1,0.15,2531,2.85,1.218070904
"5273",3,2,"urban",1,1,0.15,2531,2.85,1.218070904
"5274",5,3,"urban",2,2,0.3,2587,1.9,0.323124836
"5275",5,3,"urban",2,2,0.3,2587,1.9,0.323124836
"5276",5,3,"urban",2,2,0.3,2587,8.12,0.404071644
"5277",1,0,"rural",1,1,0.05,1359,17.1,0.940348978
"5278",1,0,"rural",1,1,0.05,298,4.51,3.876871246
"5279",5,1,"urban",2,2,0.15,6098,0.29,0.912315582
"5280",2,0,"rural",2,1,0.7,4817,38,0.733741214
"5281",2,0,"urban",2,2,0.3,3728,5.7,1.473054048
"5282",2,0,"urban",2,2,0.3,3728,6.65,1.405993932
"5283",4,0,"urban",3,4,0.15,4711,2.85,0.188516751
"5284",4,0,"urban",3,4,0.15,4711,2.94,0.189538181
